,bin,time(ms), 1,0,1,
09_,528,1055,-0.071983,0.33421,0.21081,
09_,529,1057,-0.068555,0.33935,0.21081,
09_,530,1059,-0.065127,0.33935,0.21081,
09_,531,1061,-0.0617,0.33935,0.42161,
09_,532,1063,-0.051416,0.33935,0.42161,
09_,533,1065,-0.051416,0.33935,0.42161,
09_,534,1067,-0.047989,0.34449,0.21595,
09_,535,1069,-0.047989,0.34449,0.21595,
09_,536,1071,-0.047989,0.34449,0.21595,
09_,537,1073,-0.047989,0.34449,0.2158,
09_,538,1075,-0.044561,0.34963,0.21565,
09_,539,1077,-0.041133,0.35477,0.2155,
09_,540,1079,-0.037705,0.36506,0.21536,
09_,541,1081,-0.037705,0.37534,0.21521,
09_,542,1083,-0.034278,0.38562,0.21506,
09_,543,1085,-0.027422,0.40105,0.21491,
09_,544,1087,-0.027422,0.41133,0.21476,
09_,545,1089,-0.023994,0.42161,0.21462,
09_,546,1091,-0.023994,0.4319,0.21961,
09_,547,1093,-0.027422,0.44218,0.21946,
09_,548,1095,-0.023994,0.44732,0.21931,
09_,549,1097,-0.023994,0.4576,0.21917,
09_,550,1099,-0.023994,0.46275,0.21902,
09_,551,1101,-0.023994,0.46789,0.21887,
09_,552,1103,-0.020567,0.47817,0.21872,
09_,553,1105,-0.020567,0.47817,0.21857,
09_,554,1107,-0.013711,0.47817,0.21843,
09_,555,1109,-0.010283,0.47817,0.21828,
09_,556,1111,-0.0068555,0.47817,0.21813,
09_,557,1113,-0.0034278,0.47817,0.21798,
09_,558,1115,0,0.47303,0.21783,
09_,559,1117,0.0034278,0.47303,0.21769,
09_,560,1119,0.0034278,0.47303,0.21754,
09_,561,1121,0.010283,0.47303,0.22253,
09_,562,1123,0.0068555,0.47303,0.22238,
09_,563,1125,0.0068555,0.47817,0.22224,
09_,564,1127,0.010283,0.47817,0.22209,
09_,565,1129,0.010283,0.47817,0.22194,
09_,566,1131,0.010283,0.47817,0.22179,
09_,567,1133,0.010283,0.47817,0.22679,
09_,568,1135,0.010283,0.48331,0.22664,
09_,569,1137,0.013711,0.48845,0.22649,
09_,570,1139,0.013711,0.4936,0.23148,
